Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Chefinho,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-8158-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,,,,,
Lourenço,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-8158-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,,,,,
CECI,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-8158-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,2022-01-14T13:55:21.931Z,2022-02-23T22:57:04.140Z,,,,,
Chefinho,NFAPPL-01-IPAD11=1-CD8B6DDCA9088F49A22F7AD071B542C7CE5652FD2923457DE476016E9144867B,Apple iPad Mini 5th Gen (Wi-Fi),2021-03-27T18:13:05.529Z,2021-11-21T14:42:01.967Z,2021-03-27T18:13:05.529Z,2021-11-21T14:42:01.967Z,2021-03-27T18:13:05.529Z,2021-11-21T14:42:01.967Z,2021-03-27T18:13:05.529Z,2021-11-21T14:42:01.967Z,
Chefinho,NFUWA-001-92F493975B4D7F8782B5798E7DF033DE1BE6DBE57CDD54354033611F3501BDA7,Netflix Windows App - Cadmium Windows Mobile,2020-11-22T16:02:34.188Z,2021-11-20T21:38:08.756Z,2020-11-22T16:02:34.188Z,2021-11-20T20:51:39.334Z,2020-11-22T16:02:34.188Z,2021-11-20T21:38:08.756Z,2020-11-22T16:02:34.188Z,2021-11-20T20:51:39.334Z,
CECI,LGTV20186=61008818587,LG 2018 Mstar LM18A STD UHD TV Smart TV,2020-09-16T21:22:49.838Z,2022-09-15T20:13:25.174Z,2020-09-16T21:23:05.227Z,2022-09-15T19:48:08.451Z,2021-01-08T10:35:05.852Z,2021-01-08T10:35:05.852Z,,,
Chefinho,GOOGEUR001-M19WNS0P34BV3G-27Y717,Google Chromecast streaming stick,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,
Chefinho,NFAPPL-03-APPLETV3=1-981B11F7610034AD2BEDDC216A8CA264AF5FFCA592BB42FB035530D8F5210216,Apple TV 3,2020-10-27T19:54:06.124Z,2021-09-16T19:48:26.423Z,2020-10-27T19:54:06.124Z,2021-09-16T19:48:26.423Z,2020-10-27T19:54:06.124Z,2021-09-16T19:48:26.423Z,2020-10-27T19:54:06.124Z,2021-09-16T19:48:26.423Z,
Chefinho,NFCDCH-02-HEY4AVJ2NQQFK5JD4CY02VDCW9D797,Chrome PC (Cadmium),2021-07-02T13:23:59.192Z,2021-07-02T13:23:59.192Z,,,2021-07-02T13:23:59.192Z,2021-07-02T13:23:59.192Z,,,
Chefinho,NFCDCH-02-H32RUGXED6LQGEEN2MERC4TUWAMQ5N,Chrome PC (Cadmium),2021-02-20T19:33:14.240Z,2021-02-20T19:40:32.768Z,2021-02-20T19:33:14.240Z,2021-02-20T19:40:32.768Z,2021-02-20T19:33:14.240Z,2021-02-20T19:40:32.768Z,2021-02-20T19:33:14.240Z,2021-02-20T19:40:32.768Z,
Chefinho,GOOGEUR001-M1D8IMZ97GKNOA=6X-I7F,Google Chromecast streaming stick,2020-12-01T00:00:54.704Z,2021-02-10T16:36:15.649Z,2020-12-01T00:00:54.704Z,2021-02-10T16:36:15.649Z,2020-12-01T00:00:54.704Z,2021-02-10T16:36:15.649Z,2020-12-01T00:00:54.704Z,2021-02-10T16:36:15.649Z,
CECI,NFANDROID2-PRV-2K18FHDATV-TCL==UNIONTV-8204-F291F94AC1DA55A7CF72B07A8F2FF7A447AAC002FB0D4881186BAAE3DC455B79,TCL 2K18 FHD UnionTV Smart TV,2020-08-19T22:14:10.121Z,2022-07-17T01:47:34.659Z,2020-09-27T18:46:47.672Z,2022-07-17T01:47:34.659Z,2020-11-08T00:46:14.225Z,2021-02-07T17:11:13.185Z,2020-11-08T00:46:14.225Z,2021-02-07T17:11:13.185Z,
CECI,GOOGEUR001-M19WNS0P34BV3G-27Y717,Google Chromecast streaming stick,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,2020-12-19T15:35:15.004Z,2021-11-20T17:24:39.891Z,2021-01-09T21:43:29.040Z,2021-01-09T23:50:36.641Z,2021-01-09T21:43:29.040Z,2021-01-09T23:50:36.641Z,
Lourenço,NFCDSF-01-DZM5VECN17X96FGAGAY9VNK5FCKCPJ,Safari MAC (Cadmium),2020-10-19T19:25:52.179Z,2020-10-26T20:29:52.249Z,2020-10-19T19:25:52.179Z,2020-10-26T20:29:52.249Z,2020-10-19T19:25:52.179Z,2020-10-26T20:29:52.249Z,2020-10-19T19:25:52.179Z,2020-10-26T20:29:52.249Z,
Deanna,GOOGEAR0010000000000000002346383,Google Chromecast V3 Streaming Stick,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,2020-05-31T00:22:16.068Z,
Chefinho,GOOGCAP0010000000000000008165009,Google Chromecast V5 Streaming Stick,,,,,,,,,
Chefinho,GOOGEUR001-M15FTY2T6TU-R4K6W8D3B,Google Chromecast streaming stick,,,,,,,,,
Chefinho,NFCDCH-02-HJMRW5A3EXU3UAWC0WH8C50VD4X1GW,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFCDCH-02-HEPCGVD0612G8J681VWALKF3MNEFDF,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFCDCH-02-GYYAZNGQ6K9NCF8VQK3AAAFJDKNNK2,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-PRV-P-L3-SAMSUSM-J610G-4445-05909853D10EF91A6BA49F8634A329749F8CFCEF75B8A6A6994940DAC3FFAFEFE,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Chefinho,NFCDCH-02-G52YZF1M1JFY4C4RJW9JNC2AYMH8QT,Chrome PC (Cadmium),,,,,,,,,
Chefinho,NFPS3-001-G3409XUV688HM1FU0DHJWE04Y0,Sony PS3,,,,,,,,,
Chefinho,NFAPPL-01-IPAD3=4-B5E2AECEBF166DC8159848A64C687AB7395E1373420733EF237B2327FD2F02F1,Apple iPad 4 WiFi,,,,,,,,,
