Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Chefinho,BR,iPhone,0,the mission,The Mission,select,suggestion_results,2021-06-16 23:09:34
Chefinho,BR,Smart TV,0,sea,Seaspiracy,play,,2021-05-22 16:06:47
Chefinho,BR,Smart TV,0,sea,Seaspiracy,select,,2021-05-22 16:06:43
Chefinho,BR,iPhone,0,sea,Seaspiracy,select,,2021-05-21 00:19:25
Chefinho,BR,iPhone,0,nazi camps,The Innocents,select,,2021-04-11 21:21:18
Chefinho,BR,iPhone,0,nazi camps,Your Son,select,,2021-04-11 21:20:56
Chefinho,BR,iPhone,0,nazi camps,The Resistance Banker,select,,2021-04-11 21:20:21
Chefinho,BR,iPhone,0,nazi camps,Escape from a Nazi Death Camp,select,,2021-04-11 21:20:12
Chefinho,BR,iPhone,0,nazi camps,A Twelve Year Night,select,,2021-04-11 21:07:33
Chefinho,BR,iPhone,0,nazi camps,Riphagen - The Untouchable,select,,2021-04-11 21:06:57
Chefinho,BR,iPhone,0,nazi camps,The Innocents,select,,2021-04-11 19:43:50
Chefinho,BR,iPhone,0,nazi camps,A Twelve Year Night,select,,2021-04-11 19:43:38
Chefinho,BR,iPhone,0,nazi camps,Nazi Concentration Camps,select,,2021-04-11 19:43:18
Chefinho,BR,iPhone,0,wwii,,select,,2021-04-11 19:42:26
Chefinho,BR,iPhone,0,wwii,,select,,2021-04-11 19:41:20
Chefinho,BR,iPhone,0,wwii,,select,,2021-04-11 19:40:57
Chefinho,BR,iPhone,0,wwii,,select,,2021-04-11 19:40:22
Chefinho,BR,iPhone,0,wwii,,select,,2021-04-11 19:40:04
Chefinho,BR,iPhone,0,wwii,The Photographer Of Mauthausen,select,,2021-04-11 19:39:50
Chefinho,BR,Smart TV,0,cabr,Get the Goat,play,,2021-04-01 20:37:40
Chefinho,BR,Smart TV,0,cabr,Get the Goat,play,,2021-04-01 19:17:47
Chefinho,BR,Smart TV,0,cabr,Get the Goat,select,,2021-04-01 19:17:43
Chefinho,BR,iPhone,0,the life of others,We Are Young. We Are Strong.,select,,2021-03-27 23:26:15
Chefinho,BR,HTML 5,0,vaughn,,select,,2021-02-20 19:49:11
Chefinho,BR,iPad,0,gina carano,The Ronda Rousey Story: Through My Father's Eyes,select,,2021-02-20 16:33:39
Chefinho,BR,iPad,0,gina carano,,select,,2021-02-20 16:33:33
Chefinho,BR,iPhone,0,euro,The Dictator,select,,2021-02-10 16:34:52
Chefinho,BR,iPhone,0,leam ne,Sniper: Legacy,select,,2021-02-10 16:31:36
Chefinho,BR,iPhone,0,leam ne,Momentum,select,,2021-02-10 16:31:15
Chefinho,BR,iPhone,0,leam ne,The Witch,select,,2021-02-10 16:30:59
Chefinho,BR,iPhone,0,leam ne,The Decline,select,,2021-02-10 16:30:35
Chefinho,BR,iPhone,0,leam ne,Jack Reacher,select,,2021-02-10 16:30:28
Chefinho,BR,iPhone,0,leam ne,Inside Man,select,,2021-02-10 16:30:07
Chefinho,BR,iPhone,0,leam ne,Third Person,select,,2021-02-10 16:29:51
Chefinho,BR,iPhone,0,leam ne,Run All Night,select,,2021-02-10 16:29:35
Chefinho,BR,iPhone,0,tom cruise,Focus,select,,2021-02-10 16:28:29
Chefinho,BR,iPhone,0,tom cruise,Wanted,select,,2021-02-10 16:28:15
Chefinho,BR,iPhone,0,tom cruise,Focus,select,,2021-02-10 16:27:51
Chefinho,BR,iPhone,0,tom cruise,Jack Ryan: Shadow Recruit,select,,2021-02-10 16:27:27
Chefinho,BR,iPhone,0,tom cruise,Mission: Impossible - Fallout,select,,2021-02-10 16:27:03
Chefinho,BR,iPhone,0,tom cruise,Jack Reacher,select,,2021-02-10 16:26:47
Chefinho,BR,iPhone,0,we are no angels,Wanted,select,,2021-02-08 20:24:31
Chefinho,BR,iPhone,0,rhe white,The White Tiger,add,,2021-02-01 10:01:05
Chefinho,BR,iPhone,0,rhe white,The White Tiger,select,,2021-02-01 10:00:36
Chefinho,BR,iPhone,0,the call,The Call,add,,2021-02-01 10:00:00
Chefinho,BR,iPhone,0,the call,The Call,select,,2021-02-01 09:59:24
Chefinho,BR,iPhone,0,a ghost,The Witch,select,,2021-02-01 09:57:51
Chefinho,BR,iPhone,0,tarantino,,select,,2021-01-27 22:47:37
Chefinho,BR,iPhone,0,malena,Malena,select,,2021-01-27 22:46:03
Chefinho,BR,iPhone,0,malena,MILF,select,,2021-01-27 22:45:29
Chefinho,BR,iPhone,0,vegas,What Happens in Vegas,select,,2021-01-27 22:43:51
Chefinho,BR,iPhone,0,john travolta,The Forger,select,,2021-01-27 22:41:37
Chefinho,BR,iPhone,0,zorro,First Knight,select,,2021-01-27 22:40:37
Chefinho,BR,iPhone,0,zorro,The Mask of Zorro,select,,2021-01-27 22:40:31
Chefinho,BR,iPhone,0,zorro,The Legend of Zorro,select,,2021-01-27 22:40:12
Chefinho,BR,iPad,0,,Ava,select,,2021-01-18 17:35:10
Chefinho,BR,iPad,0,taken,Wanted,select,,2021-01-18 17:34:42
Chefinho,BR,iPad,0,taken,The Expendables 2,select,,2021-01-18 17:34:32
Chefinho,BR,iPad,0,taken,The Bourne Identity,select,,2021-01-18 17:34:15
Chefinho,BR,iPad,0,taken,American Sniper,select,,2021-01-18 17:34:02
Chefinho,BR,iPad,0,taken,Run All Night,select,,2021-01-18 17:33:42
Chefinho,BR,iPad,0,liam neeso,2 Guns,select,,2021-01-18 17:32:50
Chefinho,BR,iPad,0,liam neeso,Murder Mystery,select,,2021-01-18 17:32:34
Chefinho,BR,iPad,0,liam neeso,Fractured,select,,2021-01-18 17:31:45
Chefinho,BR,iPad,0,liam neeso,Unlocked,select,,2021-01-18 17:31:29
Chefinho,BR,iPad,0,liam neeso,Hold the Dark,select,,2021-01-18 17:31:14
Chefinho,BR,iPhone,0,adam sandler,Spanglish,select,,2021-01-07 16:50:19
Chefinho,BR,iPhone,0,michael j fox,The Heartbreak Kid,select,,2021-01-07 16:49:05
Chefinho,BR,iPhone,0,michael j fox,,select,,2021-01-07 16:48:27
Chefinho,BR,iPhone,0,back to the future,Back to the Future Part II,select,,2021-01-07 16:47:55
Chefinho,BR,iPhone,0,fright night,Fright Night,select,,2021-01-06 23:07:18
Chefinho,BR,iPhone,0,fright night,Day of the Dead: Bloodline,select,,2021-01-06 23:06:59
Chefinho,BR,iPad,0,a mula,Escape from Alcatraz,select,,2021-01-03 18:53:03
