Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,Hanna_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:10,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2317,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5860,""mediaOffsetMs"":3275},{""eventType"":""stopped"",""sessionOffsetMs"":8528,""mediaOffsetMs"":3288}]"
Chefinho,Repo Men_hook_01_16x9,FireTV 4K Stick 2018,2022-09-03 12:25:07,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2189,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3352,""mediaOffsetMs"":1113},{""eventType"":""stopped"",""sessionOffsetMs"":5425,""mediaOffsetMs"":784}]"
Chefinho,Season 1 Main Character Intro Clip: Devil in Ohio,FireTV 4K Stick 2018,2022-09-03 12:25:02,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2038,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2170,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3716,""mediaOffsetMs"":75}]"
Chefinho,No Man of God_hook_01_16x9,FireTV 4K Stick 2018,2022-09-03 12:24:50,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2239,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":9278,""mediaOffsetMs"":6923},{""eventType"":""stopped"",""sessionOffsetMs"":12320,""mediaOffsetMs"":6971}]"
Chefinho,Dirty Money: Season 1_hook_12_16x9,FireTV 4K Stick 2018,2022-09-03 12:24:46,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2240,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3378,""mediaOffsetMs"":890},{""eventType"":""stopped"",""sessionOffsetMs"":5857,""mediaOffsetMs"":962}]"
Chefinho,21_Autohook_4_16x9,FireTV 4K Stick 2018,2022-09-03 12:24:37,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2474,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":9638,""mediaOffsetMs"":7079},{""eventType"":""stopped"",""sessionOffsetMs"":11871,""mediaOffsetMs"":6775}]"
Chefinho,The Soloist_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:24:29,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2538,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7590,""mediaOffsetMs"":5021},{""eventType"":""stopped"",""sessionOffsetMs"":9870,""mediaOffsetMs"":5065}]"
Chefinho,Villain / Antagonist Clip: Interceptor,FireTV 4K Stick 2018,2022-09-03 12:24:17,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3124,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12335,""mediaOffsetMs"":9023},{""eventType"":""stopped"",""sessionOffsetMs"":14649,""mediaOffsetMs"":9084}]"
Chefinho,White Chicks_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:24:16,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2485,""mediaOffsetMs"":0}]"
Chefinho,The Craigslist Killer_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:23:33,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2658,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":42526,""mediaOffsetMs"":39786},{""eventType"":""stopped"",""sessionOffsetMs"":43670,""mediaOffsetMs"":39834}]"
